,m,l,P,r,T,rho,epsilon,kappa,nabla_ad,nabla,convection/radiation
0,4e+28,1.9899873139465622e+31,1.5385570393053808e+17,384201373.1675936,20210335.150145553,56.19066147559817,489.04153685076193,0.7053970865028433,0.4,1.2768700337100505,radiative
1,3.401300650325162e+29,1.6397392601614317e+32,1.53221189097204e+17,1099827580.8897347,20176953.682126664,56.05188691311918,474.793327161748,0.706461631894095,0.4,1.2422756444329315,radiative
2,6.402601300650324e+29,3.0541270896824882e+32,1.529095863747672e+17,1374393991.4783955,20160528.82935695,55.983654998908285,467.9340650205331,0.7069871037185215,0.4,1.231607570539636,radiative
3,9.403901950975487e+29,4.4496980423267336e+32,1.5264629182757757e+17,1570662883.74105,20146635.67298118,55.92595466518838,462.20855475639655,0.7074324130893501,0.4,1.2237331004441185,radiative
4,1.2405202601300648e+30,5.829320011436378e+32,1.524112516925497e+17,1728390160.311255,20134222.05639822,55.87441004691472,457.1513747827496,0.7078309461520097,0.4,1.2170947039271793,radiative
5,1.540650325162581e+30,7.19456996589101e+32,1.521977039011066e+17,1861274190.767016,20122933.42022568,55.82755141273806,452.6000644743357,0.7081939108727584,0.4,1.2111531570696856,radiative
6,1.8407803901950974e+30,8.546623128302693e+32,1.520030323805185e+17,1976456294.456741,20112632.78029538,55.78481606324627,448.48633490039595,0.7085255957109808,0.4,1.2056683231140233,radiative
7,2.1409104552276135e+30,9.88659871660344e+32,1.5182207333354176e+17,2079354704.6705515,20103049.228538528,55.74507501345905,444.6923270049648,0.7088346092040273,0.4,1.2005594448700456,radiative
8,2.4410405202601297e+30,1.1215558186962891e+33,1.5164714369441126e+17,2173665904.722201,20093779.428254228,55.70663727000954,441.052734839741,0.709133843747147,0.4,1.1958177799898217,radiative
9,2.741170585292646e+30,1.253402368714374e+33,1.5147610451362285e+17,2261062863.368594,20084711.279110856,55.66903234477161,437.5207927095575,0.7094268737768537,0.4,1.1913709799581762,radiative
10,3.041300650325162e+30,1.3842187851390408e+33,1.5131144234083968e+17,2342294451.0812736,20075975.585766193,55.63281283229107,434.1448528177151,0.7097094768060208,0.4,1.187119123761445,radiative
11,3.341430715357678e+30,1.5140424818252425e+33,1.511526987444273e+17,2418185929.0201373,20067548.377526313,55.59788043325474,430.9126214458767,0.709982400203515,0.4,1.183027914089915,radiative
12,3.641560780390195e+30,1.6429095187973105e+33,1.509993878389449e+17,2489472784.8222294,20059404.240113445,55.56413029836532,427.8116665479647,0.710246440551413,0.4,1.1790748909791375,radiative
13,3.941690845422711e+30,1.770854602248956e+33,1.5085099628514547e+17,2556800732.6017385,20051516.31566595,55.53145103311585,424.8294046524893,0.710502443611278,0.4,1.175244972017579,radiative
14,4.241820910455227e+30,1.8979110845432676e+33,1.507069832899758e+17,2620725712.9499993,20043856.302738324,55.49972470240823,421.9530888021903,0.7107513042926386,0.4,1.1715278859120921,radiative
15,4.541950975487743e+30,2.0241109642127147e+33,1.5056678060657648e+17,2681713892.9354916,20036394.45630121,55.4688268344209,419.16979788521627,0.710993966626941,0.4,1.1679166236914462,radiative
16,4.8420810405202593e+30,2.149484885959145e+33,1.5042979253428176e+17,2740141666.103842,20029099.58774138,55.43862642309506,416.46642772578633,0.7112314237502703,0.4,1.1644064660680757,radiative
17,5.142211105552775e+30,2.2740621406537846e+33,1.502953959186197e+17,2796295652.47782,20021939.064861745,55.408985928574964,413.8296843143947,0.7114647178984155,0.4,1.1609943516150876,radiative
18,5.442341170585292e+30,2.397870430786437e+33,1.501629636958572e+17,2850375984.125229,20014880.048276037,55.37976652355737,411.2465316084045,0.7116949004929624,0.4,1.1576781715172757,radiative
19,5.742471235617808e+30,2.5209271041874887e+33,1.5003257675589533e+17,2902587974.21583,20007926.859133016,55.350986947909725,408.71775655392037,0.7119218250796815,0.4,1.1544473929313535,radiative
20,6.042601300650324e+30,2.6432435762976315e+33,1.4990437855604054e+17,2953073955.867744,20001087.066208582,55.32268005240126,406.2453021633127,0.7121452408355101,0.4,1.1512904868218652,radiative
21,6.34273136568284e+30,2.764832400286599e+33,1.4977831183798563e+17,3001937068.583103,19994357.692285914,55.29483394117606,403.82727939724487,0.7123652377210917,0.4,1.1481998618356297,radiative
22,6.642861430715356e+30,2.885706018442116e+33,1.496543168764744e+17,3049275940.349264,19987735.630461257,55.26743611863976,401.46179823629706,0.712581910183048,0.4,1.1451693740073223,radiative
23,6.942991495747872e+30,3.0058767621699e+33,1.495323314793017e+17,3095184687.638804,19981217.644143913,55.24047348892937,399.1469672486371,0.7127953571564222,0.4,1.1421940160636237,radiative
24,7.24312156078039e+30,3.12535685199366e+33,1.494122909873133e+17,3139752915.409525,19974800.367056254,55.213932355433826,396.8808931498478,0.713005682066875,0.4,1.1392696839474286,radiative
25,7.543251625812906e+30,3.2441583975550974e+33,1.492941282744061e+17,3183065717.1044507,19968480.303233713,55.187798420359194,394.6616803590787,0.713212992832682,0.4,1.1363929990570862,radiative
26,7.843381690845422e+30,3.362293397613908e+33,1.4917777374752797e+17,3225203674.651829,19962253.82702479,55.16205678433143,392.48743055588204,0.7134174018665534,0.4,1.1335611712787863,radiative
27,8.143511755877938e+30,3.479773740047777e+33,1.490631553466777e+17,3266242858.46513,19956117.18309105,55.13669194603037,390.35624224189735,0.7136190260773301,0.4,1.1307718922898409,radiative
28,8.443641820910454e+30,3.596611201852384e+33,1.489501985449052e+17,3306254827.443046,19950066.48640712,55.111687801847474,388.26621031185414,0.7138179868715705,0.4,1.1280232516026896,radiative
29,8.74377188594297e+30,3.712817449141399e+33,1.488388263483114e+17,3345306628.9694943,19944097.72226069,55.087027645559765,386.21542563803644,0.7140144101550925,0.4,1.1253136698872979,radiative
30,9.043901950975486e+30,3.8284040371464874e+33,1.4872895929604816e+17,3383460798.9136133,19938206.74625252,55.06269416801243,384.2019746726413,0.7142084263345072,0.4,1.1226418455597877,radiative
31,9.344032016008003e+30,3.9433824102173034e+33,1.4862051546031843e+17,3420775361.6297646,19932389.28429643,55.03866945680171,382.223939072474,0.7144001703187777,0.4,1.1200067116560783,radiative
32,9.644162081040519e+30,4.057763901821495e+33,1.4851341044637616e+17,3457303829.9575334,19926640.932619303,55.01493499595006,380.27939535041435,0.7145897815208447,0.4,1.1174074007515804,radiative
33,9.944292146073035e+30,4.171559734544703e+33,1.4840755739252624e+17,3493095205.2217274,19920957.157761093,54.99147166556432,378.3664145579976,0.7147774038593866,0.4,1.1148432162285693,radiative
34,1.0244422211105552e+31,4.2847810200905614e+33,1.4830286697012464e+17,3528193977.232377,19915333.296574812,54.96825974146869,376.48306200388026,0.7149631857607266,0.4,1.1123136085909062,radiative
35,1.0544552276138068e+31,4.397438759280693e+33,1.4819924738357837e+17,3562640124.2847366,19909764.55622654,54.94527889480242,374.6273970124642,0.7151472801609698,0.4,1.109818155821924,radiative
36,1.0844682341170584e+31,4.509543842054715e+33,1.480966043703454e+17,3596469113.1592817,19904246.01419542,54.9225081915732,372.7974727275855,0.7153298445083818,0.4,1.107356547003543,radiative
37,1.11448124062031e+31,4.6211070474702395e+33,1.4799484120093472e+17,3629711899.121712,19898772.61827366,54.899926092155994,370.9913359656258,0.7155110407660933,0.4,1.1049285685832488,radiative
38,1.1444942471235617e+31,4.732139043702866e+33,1.4789385867890634e+17,3662394925.9229517,19893339.18656653,54.87751045072754,369.2070271230032,0.715691035415151,0.4,1.1025340928041538,radiative
39,1.1745072536268133e+31,4.8426503880461903e+33,1.4779355514087126e+17,3694540125.799144,19887940.407492366,54.855238514625405,367.4425801425501,0.7158699994579918,0.4,1.1001730679125414,radiative
40,1.204520260130065e+31,4.952651526911798e+33,1.4769382645649155e+17,3726164919.4716573,19882570.839782573,54.83308692362139,365.69602254363065,0.7160481084223751,0.4,1.0978455098341053,radiative
41,1.2345332666333165e+31,5.062149378532992e+33,1.475946557597294e+17,3757288067.437778,19877229.61920449,54.811052003504194,363.96690163348137,0.7162253888953456,0.4,1.095550149135458,radiative
